Component,Category,Functionality
NeoAccordion,Containers,Interactive, shows and hides content
NeoAlert,Data Presentation,User feedback
NeoAvatar,Data Presentation,Can be interactive
NeoButton,Form Controls,User input
NeoCard,Containers,Data presentation, container
NeoCheckbox,Form Controls,User input
NeoDivider,Visual Separator,Visual separator
NeoIcon,Visual Element,Visual element
NeoInput,Form Controls,User input
NeoLabel,Form Accessibility,Label
NeoLegend,Form Accessibility,Label
NeoOption,Form Controls,User input
NeoPopover,Containers,Interactive, shows and hides content
NeoProgressBar,Data Presentation,Data presentation
NeoRadio,Form Controls,User input
NeoSelect,Form Controls,User input
NeoSpinner,Visual Indicator,Loading state
NeoTab,Navigation,Interactive
NeoTag,Data Presentation,Can be interactive
NeoToggle,Form Controls,User input
NeoTooltip,Data Presentation,Interactive
NeoCheckboxGroup,Form Controls,User input
NeoLabeledInput,Form Controls,User input
NeoLabeledSelect,Form Controls,User input
NeoRadioGroup,Form Controls,User input
NeoTabGroup,Navigation,Interactive
Accordion (UI),Containers,Interactive, shows and hides content
Alert (UI),Data Presentation,User feedback
Avatar (UI),Data Presentation,Data presentation
Button (UI),Form Controls,User input
